label,capfile,nFrames,nGolden,pctGolden,totInfoBits,totInfoErr,codedBER,codedBER_steady
ARMED-TAP-T8,/mnt/onetb/scratch/qpsk_variants/two_jup/armed_tap_t8_d2.iq,16,0,0.000,1920,768,0.40000000,0.40000000
t8tap/armed_tap_t8.iq,t8tap/armed_tap_t8.iq,43,0,0.000,5160,2240,0.43410853,0.43253968
t8tap/try1.iq,t8tap/try1.iq,45,0,0.000,5400,2325,0.43055556,0.42954545
t8tap/muxtap_0.iq,t8tap/muxtap_0.iq,22,0,0.000,2640,1109,0.42007576,0.41746032
t8tap/armed_tap_t8.iq,t8tap/armed_tap_t8.iq,43,0,0.000,5160,2240,0.43410853,0.43253968
t8tap/try1.iq,t8tap/try1.iq,45,0,0.000,5400,2325,0.43055556,0.42954545
t8tap/muxtap_0.iq,t8tap/muxtap_0.iq,22,0,0.000,2640,1109,0.42007576,0.41746032
t8tap/armed_tap_t8_d2p0.iq,t8tap/armed_tap_t8_d2p0.iq,16,0,0.000,1920,768,0.40000000,0.40000000
t8tap/armed_tap_t8_d2p1.iq,t8tap/armed_tap_t8_d2p1.iq,16,0,0.000,1920,754,0.39270833,0.39222222
t8tap/try1_d2p0.iq,t8tap/try1_d2p0.iq,16,16,100.000,1920,0,0.00000000,0.00000000
t8tap/try1_d2p1.iq,t8tap/try1_d2p1.iq,16,16,100.000,1920,0,0.00000000,0.00000000
txsim_lane0,t8tap/txsim_lane0.iq,8,0,0.000,960,420,0.43750000,0.42976190
txsim_raw,t8tap/txsim_raw.iq,9,0,0.000,1080,473,0.43796296,0.43229167
t8tap/txsim_raw_d2p0.iq,t8tap/txsim_raw_d2p0.iq,3,2,66.667,360,49,0.13611111,0.00000000
t8tap/txsim_raw_d2p1.iq,t8tap/txsim_raw_d2p1.iq,3,3,100.000,360,0,0.00000000,0.00000000
t8tap/txsim_lane0_d2p0.iq,t8tap/txsim_lane0_d2p0.iq,3,0,0.000,360,103,0.28611111,0.24166667
