# word	offset_symbols  (frame=12320 symbols; window=16 symbols, MSB-first {sign(I),sign(Q)})
111FBC0A	3908
1123845A	11853
1123C6DA	9759
1124F0FA	11640
1124F42F	1948
112BC234	3244
112DFE4C	7054
1132ED01	9498
114B009E	7123
1156853E	11899
11633B4B	6090
11693025	8146
116B48AF	11862
116C0D04	1221
117382DE	5552
117418B3	6887
118395D8	11754
118CEF6F	4868
1192E5A7	40
119D8A0F	9160
11A9A2B8	9063
11B7BDFC	10346
11B87032	6653
11BD7F70	1545
11C0128F	3220
11C58A54	8076
11C8C7D0	9005
11C968E3	4809
11CDD71E	11719
11CFD620	5463
11D71F70	6295
11D87973	8055
11DA2658	3017
11DC0ADD	11444
11DDDC17	9623
11DEDC61	5143
11DFEAB3	7389
11E02CA8	10709
11E4B035	7571
11F00DC4	7558
11F11123	11845
11F18196	439
11F197AB	175
11F512AD	5103
11F5DFCD	3546
11F5E384	511
11F78825	8165
11FBC0A9	3910
11FC0C78	3597
11FF7D80	8267
120367A4	8518
12049119	30
1205DC2F	6247
12097FF7	463
120BD032	3972
1216CB18	11884
12247153	11687
122898DA	7002
122AC821	10589
122BE2B0	10156
122E7C60	1560
123845AD	11855
123C6DAB	9761
124464B9	35
12482414	808
124D1FF9	3952
124F0FA7	11642
124F42F0	1950
125888F8	2797
125949D9	9738
125BD883	2883
125C0D1E	10415
125C1E99	1661
1260E9BC	11403
1267CA2D	10932
12732029	1827
127BAB4C	1234
1286EA15	7304
128F491B	3228
12946541	9943
1298E90E	4397
12A833DA	6916
12AA760E	3817
12ACEB80	10687
12AD2688	5111
12AE7C49	2872
12B308DE	10296
12B4BEA8	2125
12BC234A	3246
12C54186	5794
12D1E1BE	1010
12D37CDE	2725
12D55B17	6834
12D699FC	3515
12D6EC4D	10326
12D7BFC1	3361
12D7DE59	5362
12DA4A2C	8121
12DC733F	2552
12DF8976	10220
12DFE4C8	7056
12E18C77	11621
12E51E38	397
12E7426D	2325
12EB26C8	282
12F84962	2790
1303310A	8948
13050263	3681
1305F577	7811
130C725F	3890
130CCF9F	4629
131096C0	2851
13159E1B	10383
132ED01A	9500
133A6874	6518
134B0EB7	11955
1351051B	1522
135387C1	10115
1356046D	10337
13615224	12214
13684725	4802
136BF8A6	12276
1386687D	79
1399EF01	5157
139F8226	12142
139F9158	4691
13B56EC7	3378
13B5E1BC	6057
13B8C7E5	2040
13BF2536	2019
13CC1059	1708
13CD133A	6510
13D5B98E	845
13E1F7F2	4370
13E49915	3034
13EDB45E	890
13FA9181	5823
13FD3116	1211
1400F53E	7457
14033B0E	10129
14047D78	506
14098CE3	3686
1414F7D3	9369
14155688	7845
141D6F0F	9985
14264F97	4415
142771E2	11572
142DCC16	820
1436A328	3084
143934F0	8616
1439AF51	8094
143BDECF	7163
14425261	6754
144ED5BB	3375
145192BA	7771
14554BAA	2648
1456C319	2172
1456E072	11302
145E5F11	8043
1461045C	5543
1464AE91	7774
146CCB95	2665
146D3C21	1531
146DD2E8	7939
14779971	3478
147F81D9	4208
1495225E	3849
1495DC9F	865
1495F4EE	2491
1497B580	8751
14A2083A	5975
14AAB63B	3578
14B009E5	7125
14B28476	3008
14B3746E	11486
14BB2E8A	9927
14BCE180	6739
14BE35B2	1195
14BF4F3C	7656
14C7D85D	3755
14C96675	10970
14CA8103	1398
14CD0A39	6768
14D79011	5091
14D9CE02	2268
14DA3593	9331
14E56CFE	8336
14E9FC5E	1803
14EA7894	1466
14EB485B	8398
14F252CB	9680
14F7D3C8	9373
14FAC0AD	11908
14FC0DE9	2349
14FF326D	7364
15018DE1	5529
15042DC4	8108
15061B85	5799
15065A4E	4048
15069F0B	7316
150F3077	4716
1511F00D	7554
1512D6EC	10322
15141556	7841
151AF519	967
151DE852	3838
1522403F	12220
15232E29	10626
1529CA3C	2391
153571F9	12039
15386BB9	11697
153E91F6	1314
154A2A72	7441
154F1501	5521
15522DFD	4607
15526CB5	7334
1552EAB1	2651
15543540	682
1555F7A0	1052
155688E1	7849
15615684	17
1564FFD2	2460
15684812	23
156853EB	11901
156E92D9	8858
1570D3A6	7958
157776F1	8819
157F3DAE	9115
15824D08	4701
1583D3B4	7238
1590FCEA	3046
159452F8	1188
159BA074	9240
159E1B73	10387
159E29EA	7493
15A1B91D	6017
15A3A49A	10007
15A6889A	11028
15A8F6E4	4338
15B0C671	2175
15B15615	11
15B337FB	8707
15B81CA3	11305
15BE3D4B	1929
15C441AE	12242
15CFF7CB	6484
15D50EF8	992
15E09D4E	10818
15EF2B87	5274
15F0102F	4499
15F07B33	10796
15F2482F	4115
15F67D9F	3290
15F914CA	1390
15F91FA8	7426
15FDBD61	1647
15FF500A	10518
1603F0D2	9140
1605BAA4	10997
1609CEBB	2082
1611CDD7	11715
1615522D	4603
162442BA	4089
16295085	8081
16310E2E	2243
1632838C	5837
1633B4BE	6092
16353615	8695
16398096	11193
16440FE8	8320
1644B5A6	3510
16461F12	3940
1648251D	5734
16497950	1719
164FDC01	10255
1656360B	8420
165C9547	5861
165CAB70	9293
165DC536	9322
16654C53	9669
166C5D49	613
16770ACC	2189
16788DF7	6856
16930253	8148
169882F5	11214
169CDDEF	9649
16B48AFC	11864
16B75ADC	1354
16BE27CA	9563
16C0D049	1223
16C23644	832
16C57827	10813
16C61CAD	1165
16CB1845	11888
16CB2AD9	11418
16D88F72	2991
16DA482F	10906
16DC6C59	8409
16DCE21B	5490
16DCFB2C	8833
16E1F5EB	7629
16E49DE2	3270
16E783B0	3666
16EA900C	11002
16F2F5D1	5449
16F46730	9720
16FA08E3	11779
17011051	7928
17023AD2	631
171305F5	7807
17198446	4857
171D7B96	4224
17208691	9635
17215C44	12236
1723CE07	9519
172AA167	6846
172BCAF7	412
17382DED	5554
1739AC51	11291
173C4B4D	2718
17418B33	6889
1741FEF3	3766
1743D65D	3425
17491CE5	5624
1752585C	620
17640DD0	2476
1765B9CB	8968
176D6D22	10736
17709753	6399
1770BF2B	6252
1770FD0D	7788
1775C265	8733
1786AA77	340
178E3104	1814
178E88AE	11092
17950E0A	711
1797C476	8046
179BE81C	8675
179DDB9B	4997
17A3D812	2113
17BE897B	901
17CA2474	9537
17CF6B3B	11988
17D1011D	11434
17D5DF02	7816
17D783D8	7614
17E53A26	5771
17E57455	9104
17E6A2E4	3875
17F1A6FB	12018
17F507D0	9350
17F6E44F	5812
17F7D6B8	4519
17FD2799	8549
17FDACCD	1435
1800B05D	5613
18051094	6749
180DCD26	1571
180DE8E1	10864
18163283	5833
1817CF6B	11984
181800B0	5609
1819646A	445
1822F614	11560
18395D8D	11756
183D5B5F	144
183E7B37	12058
18411738	5546
184296F5	10768
18455A14	11896
184E67BC	5154
184F3041	1705
1854A728	2388
185550D5	679
1857C1EC	10793
186AFD75	8445
186BEC65	10848
186E17F6	5804
1872B5FF	1170
187C4934	3945
1892C20F	3180
18937763	2971
189541EC	9814
18993799	3728
18A2F78E	1117
18B3310A	6895
18B453F0	2342
18B7037F	2766
18C77E04	11627
18CE76DD	9470
18CEF6F1	4870
18DE1461	5535
18ED2FCB	8233
18ED4507	9976
18F28782	4937
18F72CD5	10460
18F8312A	10677
18FE8D51	4547
190C20BF	6957
192BA45D	7777
192E5A75	42
19359F77	7198
193C001B	3492
1946037A	10859
194D1E8B	11795
195077E6	9950
19646A61	449
19663283	10196
19693B1E	4053
1970B93B	938
197ABFAE	181
197E3A85	979
19844633	4861
19857E45	1385
1987C322	7755
198D1EB2	584
1993534C	4766
1994DB21	5911
19A1F52E	84
19A31893	2963
19AF81BC	6563
19C04274	5307
19C29DDB	7725
19C59DC2	2184
19CB2573	5054
19CC0849	9727
19D8A0F5	9162
19D8F636	3446
19DD0B42	9784
19DEC4D8	12205
19DF813B	2009
19E9DAB8	3165
19F562C7	6374
19FBEA06	6944
1A0AD447	428
1A0B4597	9313
1A0EC38E	9586
1A147799	3474
1A1ABF69	1067
1A2C32ED	6692
1A2F3E52	12315
1A35E486	571
1A45A737	9644
1A50B17F	8539
1A554472	8996
1A5C613C	1698
1A6500B7	11464
1A6FBD7C	12024
1A71C10F	11123
1A7C2D85	7321
1A8C768C	6819
1A93F71C	4895
1A971C93	6631
1A984825	456
1A9A2B8D	9065
1A9FA3FD	6438
1AA92431	10241
1AA9DC9C	345
1AB699C1	757
1AB89808	8909
1ABF5D76	8448
1ABF693C	1071
1ABFF830	11326
1AC4780B	10704
1AD5AB94	1035
1ADE4352	1986
1AE85C8F	9512
1AE886B5	1026
1AE947BE	661
1AEE5D32	12252
1AEE7C58	11704
1AF5197E	971
1AFB1946	10851
1B0F855D	8810
1B0FFE82	9265
1B103136	4792
