k,seq_expected,crc_ok,seq_decoded,words,chunk,hw_lost
391,51388,0,-1,191,chunk_350_419_r0,0
392,51389,1,51389,191,chunk_350_419_r0,0
393,51390,1,51390,191,chunk_350_419_r0,0
394,51391,1,51391,191,chunk_350_419_r0,0
395,51392,1,51392,191,chunk_350_419_r0,0
396,51393,1,51393,191,chunk_350_419_r0,0
397,51394,1,51394,191,chunk_350_419_r0,0
398,51395,1,51395,191,chunk_350_419_r0,0
399,51396,1,51396,191,chunk_350_419_r0,0
400,51397,1,51397,191,chunk_350_419_r0,0
401,51398,1,51398,191,chunk_350_419_r0,0
402,51399,1,51399,191,chunk_350_419_r0,0
403,51400,1,51400,191,chunk_350_419_r0,0
404,51401,1,51401,191,chunk_350_419_r0,0
405,51402,1,51402,191,chunk_350_419_r0,0
406,51403,1,51403,191,chunk_350_419_r0,0
407,51404,1,51404,191,chunk_350_419_r0,0
408,51405,1,51405,191,chunk_350_419_r0,0
409,51406,1,51406,191,chunk_350_419_r0,0
410,51407,1,51407,191,chunk_350_419_r0,0
411,51408,1,51408,191,chunk_350_419_r0,0
412,51409,1,51409,191,chunk_350_419_r0,0
413,51410,1,51410,191,chunk_350_419_r0,0
414,51411,1,51411,191,chunk_350_419_r0,0
415,51412,1,51412,191,chunk_350_419_r0,0
416,51413,1,51413,191,chunk_350_419_r0,0
417,51414,1,51414,191,chunk_350_419_r0,0
418,51415,1,51415,191,chunk_420_489_r0,0
419,51416,0,-1,191,chunk_420_489_r0,0
420,51417,0,-1,191,chunk_420_489_r0,0
421,51418,1,51418,191,chunk_420_489_r0,0
422,51419,1,51419,191,chunk_420_489_r0,0
423,51420,1,51420,191,chunk_420_489_r0,0
424,51421,1,51421,191,chunk_420_489_r0,0
425,51422,1,51422,191,chunk_420_489_r0,0
426,51423,1,51423,191,chunk_420_489_r0,0
427,51424,1,51424,191,chunk_420_489_r0,0
428,51425,1,51425,191,chunk_420_489_r0,0
429,51426,1,51426,191,chunk_420_489_r0,0
430,51427,1,51427,191,chunk_420_489_r0,0
431,51428,1,51428,191,chunk_420_489_r0,0
432,51429,1,51429,191,chunk_420_489_r0,0
433,51430,1,51430,191,chunk_420_489_r0,0
434,51431,1,51431,191,chunk_420_489_r0,0
435,51432,1,51432,191,chunk_420_489_r0,0
436,51433,1,51433,191,chunk_420_489_r0,0
437,51434,1,51434,191,chunk_420_489_r0,0
438,51435,1,51435,191,chunk_420_489_r0,0
439,51436,1,51436,191,chunk_420_489_r0,0
440,51437,1,51437,191,chunk_420_489_r0,0
441,51438,0,-1,191,chunk_420_489_r0,0
442,51439,0,-1,191,chunk_420_489_r0,0
443,51440,1,51440,191,chunk_420_489_r0,0
444,51441,1,51441,191,chunk_420_489_r0,0
445,51442,1,51442,191,chunk_420_489_r0,0
446,51443,1,51443,191,chunk_420_489_r0,0
447,51444,1,51444,191,chunk_420_489_r0,0
448,51445,1,51445,191,chunk_420_489_r0,0
449,51446,1,51446,191,chunk_420_489_r0,0
450,51447,1,51447,191,chunk_420_489_r0,0
451,51448,0,-1,191,chunk_420_489_r0,0
452,51449,0,-1,191,chunk_420_489_r0,0
453,51450,1,51450,191,chunk_420_489_r0,0
454,51451,1,51451,191,chunk_420_489_r0,0
455,51452,1,51452,191,chunk_420_489_r0,0
456,51453,1,51453,191,chunk_420_489_r0,0
457,51454,1,51454,191,chunk_420_489_r0,0
458,51455,1,51455,191,chunk_420_489_r0,0
459,51456,1,51456,191,chunk_420_489_r0,0
460,51457,1,51457,191,chunk_420_489_r0,0
461,51458,1,51458,191,chunk_420_489_r0,0
462,51459,1,51459,191,chunk_420_489_r0,0
463,51460,1,51460,191,chunk_420_489_r0,0
464,51461,1,51461,191,chunk_420_489_r0,0
465,51462,1,51462,191,chunk_420_489_r0,0
466,51463,1,51463,191,chunk_420_489_r0,0
467,51464,1,51464,191,chunk_420_489_r0,0
468,51465,1,51465,191,chunk_420_489_r0,0
469,51466,1,51466,191,chunk_420_489_r0,0
470,51467,1,51467,191,chunk_420_489_r0,0
471,51468,1,51468,191,chunk_420_489_r0,0
472,51469,1,51469,191,chunk_420_489_r0,0
473,51470,1,51470,191,chunk_420_489_r0,0
474,51471,1,51471,191,chunk_420_489_r0,0
475,51472,1,51472,191,chunk_420_489_r0,0
476,51473,1,51473,191,chunk_420_489_r0,0
477,51474,0,-1,191,chunk_420_489_r0,1
479,51476,0,-1,191,chunk_420_489_r0,1
480,51477,1,51477,191,chunk_420_489_r0,0
481,51478,1,51478,191,chunk_420_489_r0,0
482,51479,0,-1,191,chunk_420_489_r0,0
483,51480,1,51480,191,chunk_420_489_r0,0
484,51481,1,51481,191,chunk_420_489_r0,0
486,51483,1,51482,191,chunk_420_489_r0,0
487,51484,1,51484,191,chunk_420_489_r0,0
488,51485,1,51485,191,chunk_490_559_r0,0
489,51486,1,51486,191,chunk_490_559_r0,0
490,51487,0,-1,191,chunk_490_559_r0,1
492,51489,0,-1,191,chunk_490_559_r0,0
493,51490,0,-1,191,chunk_490_559_r0,0
494,51491,1,51491,191,chunk_490_559_r0,0
495,51492,1,51492,191,chunk_490_559_r0,0
496,51493,1,51493,191,chunk_490_559_r0,0
497,51494,0,-1,191,chunk_490_559_r0,0
498,51495,0,-1,191,chunk_490_559_r0,0
499,51496,0,-1,191,chunk_490_559_r0,0
500,51497,1,51497,191,chunk_490_559_r0,0
501,51498,1,51498,191,chunk_490_559_r0,0
502,51499,0,-1,191,chunk_490_559_r0,0
503,51500,0,-1,191,chunk_490_559_r0,0
504,51501,1,51501,191,chunk_490_559_r0,0
505,51502,0,-1,191,chunk_490_559_r0,0
506,51503,0,-1,191,chunk_490_559_r0,0
507,51504,0,-1,191,chunk_490_559_r0,0
508,51505,0,-1,191,chunk_490_559_r0,0
509,51506,0,-1,191,chunk_490_559_r0,0
510,51507,0,-1,191,chunk_490_559_r0,0
511,51508,1,51508,191,chunk_490_559_r0,0
512,51509,1,51509,191,chunk_490_559_r0,0
513,51510,0,-1,191,chunk_490_559_r0,0
514,51511,0,-1,191,chunk_490_559_r0,0
515,51512,1,51512,191,chunk_490_559_r0,0
516,51513,1,51513,191,chunk_490_559_r0,0
517,51514,1,51514,191,chunk_490_559_r0,0
518,51515,1,51515,191,chunk_490_559_r0,0
519,51516,1,51516,191,chunk_490_559_r0,0
520,51517,1,51517,191,chunk_490_559_r0,0
521,51518,1,51518,191,chunk_490_559_r0,0
522,51519,1,51519,191,chunk_490_559_r0,0
523,51520,0,-1,191,chunk_490_559_r0,1
525,51522,0,-1,191,chunk_490_559_r0,0
526,51523,1,51523,191,chunk_490_559_r0,0
527,51524,1,51524,191,chunk_490_559_r0,0
528,51525,1,51525,191,chunk_490_559_r0,0
529,51526,1,51526,191,chunk_490_559_r0,0
530,51527,1,51527,191,chunk_490_559_r0,0
531,51528,1,51528,191,chunk_490_559_r0,0
532,51529,1,51529,191,chunk_490_559_r0,0
533,51530,1,51530,191,chunk_490_559_r0,0
534,51531,1,51531,191,chunk_490_559_r0,0
535,51532,0,-1,191,chunk_490_559_r0,0
536,51533,1,51533,191,chunk_490_559_r0,0
537,51534,1,51534,191,chunk_490_559_r0,0
538,51535,1,51535,191,chunk_490_559_r0,0
539,51536,1,51536,191,chunk_490_559_r0,0
540,51537,1,51537,191,chunk_490_559_r0,0
541,51538,1,51538,191,chunk_490_559_r0,0
542,51539,1,51539,191,chunk_490_559_r0,0
543,51540,1,51540,191,chunk_490_559_r0,0
