# ref -10dB BW = 19.39 MHz, -20dB = 22.16
path,bw20,env,bw10,reclass
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_103237/pair.iq,41.50,0.4737,18.97,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_103556/pair.iq,41.50,0.5207,19.08,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_104722/pair.iq,40.96,0.5461,30.39,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_105026/pair.iq,41.50,0.5437,31.57,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_105919/pair.iq,40.96,0.5319,30.42,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_111031/pair.iq,41.50,0.5514,31.86,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_111335/pair.iq,41.50,0.5541,31.57,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_111903/pair.iq,41.56,0.5207,19.21,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_120213/pair.iq,40.96,0.5685,30.12,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_121538/pair.iq,41.50,0.5131,31.31,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_121825/pair.iq,41.50,0.5621,31.28,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_121857/pair.iq,41.50,0.4515,19.75,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_124444/pair.iq,41.63,0.4888,19.51,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_124500/pair.iq,37.62,0.4476,18.85,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_124832/pair.iq,41.50,0.5095,31.47,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_125503/pair.iq,38.20,0.4461,36.42,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_131602/pair.iq,41.50,0.5259,19.44,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_133323/pair.iq,41.50,0.5267,31.86,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_134237/pair.iq,40.96,0.5650,30.12,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_134951/pair.iq,40.96,0.5554,30.39,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_135439/pair.iq,41.50,0.5427,31.57,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_135641/pair.iq,41.50,0.4673,31.23,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_135957/pair.iq,41.50,0.5338,19.21,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_141340/pair.iq,41.50,0.5597,31.80,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_143126/pair.iq,41.51,0.5064,40.06,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_143428/pair.iq,37.93,0.4631,19.21,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_144243/pair.iq,41.38,0.5259,40.06,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_145130/pair.iq,41.51,0.4670,40.30,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_145440/pair.iq,38.25,0.4115,36.58,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_150724/pair.iq,41.51,0.4507,40.06,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_154709/pair.iq,37.86,0.4289,19.21,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_160359/pair.iq,41.50,0.4062,31.63,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_160601/pair.iq,38.14,0.4245,36.60,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_160806/pair.iq,41.50,0.4863,18.97,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_161317/pair.iq,41.15,0.4408,30.74,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_163749/pair.iq,41.56,0.5367,19.44,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_164054/pair.iq,41.51,0.5868,40.30,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_165505/pair.iq,40.96,0.6173,29.88,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_170415/pair.iq,41.50,0.5395,19.75,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_171330/pair.iq,41.51,0.5385,19.75,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_171419/pair.iq,41.15,0.4191,30.78,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_171736/pair.iq,41.50,0.4181,30.96,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_171754/pair.iq,41.50,0.5374,19.21,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_172143/pair.iq,41.50,0.4569,18.85,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_180301/pair.iq,41.27,0.4948,18.54,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_183551/pair.iq,41.50,0.5171,19.44,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_184436/pair.iq,41.51,0.5275,31.49,DEGENERATE
